행정구역(동),2016년_총인구수,2016년_남자 인구수,2016년_여자 인구수,2017년_총인구수,2017년_남자 인구수,2017년_여자 인구수,2018년_총인구수,2018년_남자 인구수,2018년_여자 인구수,2019년_총인구수,2019년_남자 인구수,2019년_여자 인구수,2020년_총인구수,2020년_남자 인구수,2020년_여자 인구수,2021년_총인구수,2021년_남자 인구수,2021년_여자 인구수,2022년_총인구수,2022년_남자 인구수,2022년_여자 인구수,2023년_총인구수,2023년_남자 인구수,2023년_여자 인구수,2024년_총인구수,2024년_남자 인구수,2024년_여자 인구수,2025년_총인구수,2025년_남자 인구수,2025년_여자 인구수
고잔동,20964,10562,10402,20883,10461,10422,21792,10938,10854,22548,11325,11223,21940,10956,10984,21554,10787,10767,21080,10559,10521,20396,10135,10261,19918,9923,9995,19521,9722,9799
대부동,8171,4267,3904,8370,4384,3986,8543,4482,4061,8550,4472,4078,8800,4621,4179,9060,4756,4304,9240,4871,4369,9205,4819,4386,9168,4720,4448,9112,4725,4387
반월동,20266,10290,9976,19719,10011,9708,19086,9671,9415,18549,9381,9168,18085,9113,8972,17516,8837,8679,17162,8636,8526,16831,8476,8355,16559,8360,8199,17718,8927,8791
백운동,5847,3077,2770,19816,10088,9728,18501,9416,9085,19098,9716,9382,18463,9379,9084,21344,10723,10621,21241,10668,10573,24221,12166,12055,24061,12073,11988,23751,11886,11865
본오1동,43591,22369,21222,43250,22185,21065,41487,21297,20190,39694,20430,19264,38101,19692,18409,37238,19342,17896,36756,19097,17659,35589,18515,17074,34738,18031,16707,34092,17694,16398
본오2동,30631,15122,15509,30212,14951,15261,29052,14411,14641,27908,13829,14079,26840,13303,13537,26186,12989,13197,25570,12667,12903,24928,12238,12690,24335,11955,12380,23835,11754,12081
본오3동,23437,11663,11774,22882,11355,11527,21732,10786,10946,21030,10468,10562,20156,10039,10117,19572,9743,9829,19210,9563,9647,18627,9292,9335,18120,9071,9049,17813,8891,8922
부곡동,24243,12372,11871,24274,12430,11844,23450,12059,11391,22697,11682,11015,21944,11328,10616,21624,11108,10516,21327,10950,10377,20808,10673,10135,20217,10386,9831,19840,10222,9618
사동,38752,20104,18648,38273,19917,18356,36034,18726,17308,34674,18031,16643,33015,17288,15727,32603,17137,15466,31670,16661,15009,30099,15812,14287,29292,15435,13857,28799,15199,13600
사이동,35761,18071,17690,35135,17823,17312,33819,17157,16662,32883,16695,16188,32968,16695,16273,32581,16491,16090,31838,16102,15736,31111,15732,15379,30362,15370,14992,29696,15018,14678
선부1동,12861,6644,6217,11639,6000,5639,11601,5963,5638,11387,5853,5534,17747,9100,8647,17672,9070,8602,17348,8819,8529,17072,8695,8377,16820,8578,8242,16610,8420,8190
선부2동,22633,12211,10422,21966,11913,10053,20252,10997,9255,18387,9999,8388,16498,8981,7517,15948,8620,7328,15627,8417,7210,14734,7949,6785,17258,9190,8068,17088,9073,8015
선부3동,35602,18198,17404,35177,17965,17212,37354,19139,18215,36713,18811,17902,35320,18143,17177,34549,17758,16791,34057,17505,16552,33122,17004,16118,32358,16618,15740,31654,16273,15381
성포동,26652,13124,13528,26387,13008,13379,27661,13684,13977,27961,13779,14182,26833,13152,13681,26272,12847,13425,25562,12480,13082,25096,12238,12858,24626,12038,12588,24191,11800,12391
신길동,16409,8242,8167,24889,13246,11643,23880,12771,11109,23109,12327,10782,22665,12150,10515,22471,12061,10410,22080,11849,10231,21222,11399,9823,20787,11182,9605,20412,10934,9478
안산동,10079,5225,4854,9958,5160,4798,9530,4953,4577,9301,4826,4475,9106,4752,4354,9130,4794,4336,8898,4672,4226,8674,4568,4106,8370,4390,3980,8094,4262,3832
와동,44747,23489,21258,44010,23104,20906,41653,21915,19738,39778,20983,18795,38957,20554,18403,38243,20194,18049,37519,19904,17615,36697,19542,17155,35711,19028,16683,35023,18681,16342
원곡동,33004,17880,15124,7704,4503,3201,7084,4096,2988,6646,3841,2805,6272,3609,2663,6045,3471,2574,5908,3365,2543,5613,3182,2431,5367,3032,2335,5330,3010,2320
월피동,45366,23218,22148,44518,22827,21691,42080,21496,20584,40215,20543,19672,38604,19747,18857,38102,19447,18655,37580,19166,18414,36464,18638,17826,35574,18211,17363,34928,17893,17035
이동,28988,15303,13685,28391,14998,13393,26527,14070,12457,25209,13401,11808,23979,12811,11168,23874,12812,11062,23515,12657,10858,22805,12336,10469,22498,12240,10258,22178,12082,10096
일동,28258,14340,13918,28311,14362,13949,27235,13845,13390,26073,13276,12797,25009,12731,12278,24691,12606,12085,24413,12444,11969,23444,11959,11485,22752,11618,11134,22283,11419,10864
중앙동,21884,10860,11024,21487,10666,10821,24502,12148,12354,26065,12953,13112,25138,12523,12615,24506,12227,12279,23298,11574,11724,23549,11759,11790,24288,12053,12235,23514,11695,11819
초지동,43008,21956,21052,42637,21811,20826,42217,21602,20615,47944,24552,23392,47015,24127,22888,46921,24090,22831,46508,23912,22596,45838,23428,22410,45437,23218,22219,45944,23498,22446
해양동,19833,10278,9555,19434,10075,9359,18618,9587,9031,18419,9448,8971,37248,18801,18447,41279,20790,20489,41163,20716,20447,40391,20246,20145,39748,19916,19832,39272,19669,19603
호수동,48872,24529,24343,48388,24342,24046,46653,23492,23161,46080,23145,22935,44212,22209,22003,43745,21946,21799,43090,21686,21404,42772,21527,21245,42215,21234,20981,41810,21062,20748
